,lr,max_depth,gamma,lambda,alpha,subsample_f,colsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time,ACC_train,ACC_val,Loss_train,Loss_val
41,0.01,1,0.0,0.0,1.0,0.75,0.5,0.45125,1.3817055709904829,0.8649230259890747,0.5413521221271599,0.3005099055420881,0.102332143746369,0.22542966794593694,0.6714452408734789,10000.0,0:02:26.624072,14804546.751997449,0.4869,0.4869,1.305137403957475,1.3175217450392536
42,0.01,1,0.0,0.0,1.0,0.75,0.75,0.4535,1.3808297738649873,0.8684648684648685,0.5449461647608714,0.30631982657995666,0.10356664434025452,0.2241021813054657,0.6724941724941725,10000.0,0:02:27.382339,14804694.205332076,0.4876,0.4876,1.3039974586790293,1.3168213134261055
43,0.01,1,0.0,0.0,1.0,0.75,1.0,0.4515416666666667,1.3820717781628786,0.8640591263909649,0.5460081755234838,0.30118077498752704,0.10370001659200266,0.2240267894516534,0.6707684580612757,10000.0,0:02:22.532734,14804836.80904786,0.48788333333333334,0.48788333333333334,1.3033250426359213,1.316363345600613
44,0.01,1,0.0,0.0,1.0,1.0,0.25,0.44684722222222223,1.392188616258109,0.8659217877094972,0.5338208409506399,0.30046082949308756,0.09546737506226133,0.21818333056063882,0.6687552213868003,10000.0,0:02:26.638001,14804983.518335355,0.48235,0.48235,1.3163825086272893,1.3273242017096425
45,0.01,1,0.0,0.0,1.0,1.0,0.5,0.44675,1.3926635173190172,0.862849979105725,0.5381720879672214,0.3028028028028028,0.09472114029999171,0.21685346616853465,0.6697561790247161,10000.0,0:02:26.119057,14805129.708362706,0.48173333333333335,0.48173333333333335,1.3159130653540876,1.3270718797432879
46,0.01,1,0.0,0.0,1.0,1.0,0.75,0.44822222222222224,1.3907781208650165,0.8665999666499916,0.5389041781336003,0.30160980899157563,0.09485867650759038,0.21634854771784232,0.6688791172322244,10000.0,0:02:26.300504,14805276.079582943,0.48191666666666666,0.48191666666666666,1.3158679757609508,1.3270247767815988
47,0.01,1,0.0,0.0,1.0,1.0,1.0,0.4470972222222222,1.3913322595222979,0.8677754677754678,0.5361844863731656,0.2992446252178966,0.09516679144829882,0.22001508674880563,0.6628495560534395,10000.0,0:02:21.685278,14805417.83561897,0.4820333333333333,0.4820333333333333,1.3158843080703024,1.3270918522577009
48,0.01,1,0.0,0.1,0.0,0.25,0.25,0.4573888888888889,1.3703507274020277,0.8678535606820461,0.5553696888591502,0.30096121975472323,0.1077819392426134,0.23417932876941058,0.6803394625176803,10000.0,0:02:26.087386,14805563.992026014,0.49225,0.49225,1.2923996368297366,1.3047632650957288
49,0.01,1,0.0,0.1,0.0,0.25,0.5,0.4592777777777778,1.3649816960867622,0.8630228295284119,0.5567044696464309,0.303752833515238,0.11117578579743888,0.23349745472753067,0.6851729273539633,10000.0,0:02:26.535179,14805710.598063445,0.49528333333333335,0.49528333333333335,1.2868646186745487,1.300400517224955
50,0.01,1,0.0,0.1,0.0,0.25,0.75,0.4605,1.361657398812238,0.8658345044225841,0.5566700100300903,0.3070460028283837,0.1125219279926489,0.23429144385026737,0.6828616745972118,10000.0,0:02:26.435617,14805857.10488808,0.4955833333333333,0.4955833333333333,1.2845377812228107,1.2986979927078355
51,0.01,1,0.0,0.1,0.0,0.25,1.0,0.46019444444444446,1.3626287321854265,0.8647585572014395,0.5579227696404794,0.3038239477867961,0.11362502079520878,0.23551930758988016,0.6865349493607836,10000.0,0:02:21.313878,14805998.48977723,0.49623333333333336,0.49623333333333336,1.283001734467978,1.297700920515409
52,0.01,1,0.0,0.1,0.0,0.5,0.25,0.45431944444444444,1.3780621108951523,0.8649099399599733,0.5489738027698983,0.3058442098262532,0.10446272749937671,0.22695449241540255,0.6771442902524661,10000.0,0:02:26.636401,14806145.197740272,0.4886333333333333,0.4886333333333333,1.3011239013464335,1.3132435235996316
53,0.01,1,0.0,0.1,0.0,0.5,0.5,0.45566666666666666,1.3739653930810725,0.8664497831164498,0.550533689126084,0.30036046609103867,0.1079910007499375,0.229057700290577,0.6792029887920299,10000.0,0:02:26.704329,14806291.972023224,0.49091666666666667,0.49091666666666667,1.2971020344592126,1.31029338933261
54,0.01,1,0.0,0.1,0.0,0.5,0.75,0.45493055555555556,1.3744039299401647,0.8650588333472419,0.5523348091220449,0.3030931254664566,0.10464535464535464,0.22918927945228354,0.676779463243874,10000.0,0:02:26.560662,14806438.603183473,0.49166666666666664,0.49166666666666664,1.2953830064541525,1.3091443536362817
55,0.01,1,0.0,0.1,0.0,0.5,1.0,0.45640277777777777,1.3739429948111979,0.8637086647132691,0.5556295802798135,0.3024370095002065,0.11045630577538307,0.22864761269894177,0.6760341540247037,10000.0,0:02:20.977190,14806579.64987392,0.4915,0.4915,1.2943589515906593,1.3084011143068783
56,0.01,1,0.0,0.1,0.0,0.75,0.25,0.45116666666666666,1.383412536102184,0.865972511453561,0.5419618301525128,0.3013013013013013,0.10290456431535269,0.22645440906817804,0.6702341137123746,10000.0,0:02:26.269475,14806725.99040048,0.48596666666666666,0.48596666666666666,1.30694090951705,1.3190538895582367
57,0.01,1,0.0,0.1,0.0,0.75,0.5,0.45069444444444445,1.3838747742872262,0.8622444722569879,0.5434003168514967,0.3011047429188471,0.10159312703311368,0.22748028227480283,0.6708511172483053,10000.0,0:02:25.352596,14806871.412769465,0.4875,0.4875,1.3042104731030946,1.3170500466317558
58,0.01,1,0.0,0.1,0.0,0.75,0.75,0.45084722222222223,1.3823051061572134,0.8635339287204741,0.5418583256669733,0.30334640741049823,0.10113484646194927,0.22572876006976164,0.6695702671312428,10000.0,0:02:26.971062,14807018.454380512,0.48765,0.48765,1.3030815970715834,1.3163298261118017
