,lr,max_depth,gamma,lambda,subsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time
37,0.001,3,0.1,0.01,0.8,0.5162777777777777,1.2076038920957446,0.8896666666666667,0.711,0.33366666666666667,0.17033333333333334,0.2833333333333333,0.7096666666666667,50000.0,0:07:34.963066,14346074.206011932
38,0.001,3,0.1,0.01,0.6,0.5194444444444445,1.2025394014670474,0.888,0.713,0.34,0.17466666666666666,0.2833333333333333,0.7176666666666667,50000.0,0:07:40.920725,14346535.134412173
39,0.001,3,0.1,0.01,0.4,0.5223333333333333,1.1993216681392551,0.889,0.7153333333333334,0.349,0.17333333333333334,0.2846666666666667,0.7226666666666667,50000.0,0:07:42.762123,14346997.904237408
40,0.001,3,0.1,0.1,1.0,0.5126666666666667,1.2190900511379812,0.89,0.708,0.32166666666666666,0.17166666666666666,0.2823333333333333,0.7023333333333334,50000.0,0:07:18.402750,14347436.316236332
41,0.001,3,0.1,0.1,0.8,0.516,1.207626655316045,0.8893333333333333,0.7106666666666667,0.33266666666666667,0.17066666666666666,0.2833333333333333,0.7093333333333334,50000.0,0:07:35.832413,14347892.156372054
42,0.001,3,0.1,0.1,0.6,0.5192777777777777,1.2025208051832599,0.888,0.7126666666666667,0.3396666666666667,0.17366666666666666,0.2836666666666667,0.718,50000.0,0:07:41.192671,14348353.356768249
43,0.001,3,0.1,0.1,0.4,0.5222222222222223,1.1992208022817181,0.889,0.7153333333333334,0.34933333333333333,0.17366666666666666,0.284,0.722,50000.0,0:07:41.748288,14348815.112787751
44,0.001,3,0.1,1.0,1.0,0.512,1.2195725333478828,0.8903333333333333,0.708,0.321,0.16933333333333334,0.2803333333333333,0.703,50000.0,0:07:17.990075,14349253.110593077
45,0.001,3,0.1,1.0,0.8,0.5151666666666667,1.2078388450706448,0.8893333333333333,0.7116666666666667,0.3313333333333333,0.171,0.2793333333333333,0.7083333333333334,50000.0,0:07:35.325943,14349708.44454504
46,0.001,3,0.1,1.0,0.6,0.5189444444444444,1.20281104955597,0.8876666666666667,0.713,0.33866666666666667,0.17566666666666667,0.2796666666666667,0.719,50000.0,0:07:38.295111,14350166.747452851
47,0.001,3,0.1,1.0,0.4,0.5213333333333333,1.1994279811687574,0.8876666666666667,0.7146666666666667,0.347,0.175,0.2823333333333333,0.7213333333333334,50000.0,0:07:41.747926,14350628.503122702
48,0.001,3,1.0,0.001,1.0,0.5122222222222222,1.2193504124861987,0.8913333333333333,0.7116666666666667,0.32766666666666666,0.15833333333333333,0.2786666666666667,0.7056666666666667,50000.0,0:06:36.592158,14351025.103050267
49,0.001,3,1.0,0.001,0.8,0.5162777777777777,1.2076099440048844,0.8896666666666667,0.7106666666666667,0.33366666666666667,0.17066666666666666,0.2833333333333333,0.7096666666666667,50000.0,0:07:35.264083,14351480.374885783
50,0.001,3,1.0,0.001,0.6,0.5192777777777777,1.2025698985610156,0.8883333333333333,0.7123333333333334,0.339,0.17466666666666666,0.2833333333333333,0.718,50000.0,0:07:40.166615,14351940.549848812
51,0.001,3,1.0,0.001,0.4,0.5220555555555556,1.1993705455541543,0.8886666666666667,0.7156666666666667,0.349,0.173,0.2836666666666667,0.7223333333333334,50000.0,0:07:42.068801,14352402.626450717
52,0.001,3,1.0,0.01,1.0,0.5122777777777778,1.2192939085999797,0.8913333333333333,0.7126666666666667,0.3273333333333333,0.16033333333333333,0.278,0.704,50000.0,0:06:38.324099,14352800.95831694
53,0.001,3,1.0,0.01,0.8,0.5160555555555556,1.207617342857718,0.8896666666666667,0.7103333333333334,0.333,0.17066666666666666,0.283,0.7096666666666667,50000.0,0:07:35.355969,14353256.322419165
54,0.001,3,1.0,0.01,0.6,0.5196111111111111,1.2025548986958763,0.8883333333333333,0.7133333333333334,0.3396666666666667,0.17433333333333334,0.2833333333333333,0.7186666666666667,50000.0,0:07:40.339030,14353716.669586468
55,0.001,3,1.0,0.01,0.4,0.522,1.1993505204932562,0.889,0.7153333333333334,0.34933333333333333,0.173,0.2833333333333333,0.722,50000.0,0:07:41.733717,14354178.412842778
56,0.001,3,1.0,0.1,1.0,0.5119444444444444,1.219359495116979,0.8913333333333333,0.712,0.326,0.16,0.2776666666666667,0.7046666666666667,50000.0,0:06:37.402200,14354575.823217155
57,0.001,3,1.0,0.1,0.8,0.5160555555555556,1.2076177713350051,0.8893333333333333,0.7106666666666667,0.33266666666666667,0.171,0.2833333333333333,0.7093333333333334,50000.0,0:07:35.378983,14355031.210057339
58,0.001,3,1.0,0.1,0.6,0.5194444444444445,1.2025430833963404,0.888,0.713,0.3396666666666667,0.174,0.284,0.718,50000.0,0:07:40.307004,14355491.524927149
59,0.001,3,1.0,0.1,0.4,0.5222222222222223,1.1992503368026728,0.8893333333333333,0.7156666666666667,0.34933333333333333,0.17333333333333334,0.2836666666666667,0.722,50000.0,0:07:42.359452,14355953.892287048
60,0.001,3,1.0,1.0,1.0,0.5114444444444445,1.2196270003689766,0.8923333333333333,0.7126666666666667,0.323,0.15933333333333333,0.2753333333333333,0.706,50000.0,0:06:35.549148,14356349.44935566
61,0.001,3,1.0,1.0,0.8,0.5154444444444445,1.207841612392188,0.8896666666666667,0.712,0.33166666666666667,0.171,0.28,0.7083333333333334,50000.0,0:07:34.094837,14356803.552420404
62,0.001,3,1.0,1.0,0.6,0.5189444444444444,1.2028210564356603,0.888,0.7126666666666667,0.3393333333333333,0.17533333333333334,0.28,0.7183333333333334,50000.0,0:07:39.845109,14357263.405759322
63,0.001,3,1.0,1.0,0.4,0.5212777777777777,1.1994239731692296,0.8876666666666667,0.7146666666666667,0.3466666666666667,0.17466666666666666,0.283,0.721,50000.0,0:07:41.401461,14357724.81513704
64,0.001,4,0.001,0.001,1.0,0.5178888888888888,1.1866591076808666,0.8893333333333333,0.7103333333333334,0.33266666666666667,0.188,0.2836666666666667,0.7033333333333334,50000.0,0:10:56.746886,14358381.570195872
65,0.001,4,0.001,0.001,0.8,0.5276111111111111,1.1730482817050236,0.8876666666666667,0.7193333333333334,0.347,0.19533333333333333,0.2916666666666667,0.7246666666666667,50000.0,0:11:26.432074,14359068.010163303
66,0.001,4,0.001,0.001,0.6,0.5313333333333333,1.169182104138994,0.8866666666666667,0.7196666666666667,0.35333333333333333,0.2,0.2956666666666667,0.7326666666666667,50000.0,0:12:05.011912,14359793.03003289
67,0.001,4,0.001,0.001,0.4,0.5310555555555555,1.1682565869901336,0.8843333333333333,0.719,0.36,0.19966666666666666,0.28933333333333333,0.734,50000.0,0:12:04.528786,14360517.566742927
68,0.001,4,0.001,0.01,1.0,0.5187777777777778,1.1865807512809214,0.8886666666666667,0.7113333333333334,0.32966666666666666,0.18933333333333333,0.2853333333333333,0.7083333333333334,50000.0,0:12:09.719998,14361247.29533309
69,0.001,4,0.001,0.01,0.8,0.5277222222222222,1.1730445592429184,0.8876666666666667,0.719,0.3476666666666667,0.195,0.29133333333333333,0.7256666666666667,50000.0,0:12:15.082311,14361982.385570172
70,0.001,4,0.001,0.01,0.6,0.5312222222222223,1.1691530345555228,0.887,0.7193333333333334,0.35333333333333333,0.20033333333333334,0.295,0.7323333333333333,50000.0,0:11:48.074747,14362690.469965383
71,0.001,4,0.001,0.01,0.4,0.5314444444444445,1.1682706149206787,0.8846666666666667,0.7193333333333334,0.36033333333333334,0.19866666666666666,0.29133333333333333,0.7343333333333333,50000.0,0:11:33.056334,14363383.534862548
72,0.001,4,0.001,0.1,1.0,0.5181666666666667,1.1862181464452486,0.8883333333333333,0.71,0.33,0.18933333333333333,0.2836666666666667,0.7076666666666667,50000.0,0:10:55.518393,14364039.061872318
73,0.001,4,0.001,0.1,0.8,0.5277222222222222,1.1729993673137953,0.8883333333333333,0.719,0.347,0.19566666666666666,0.2906666666666667,0.7256666666666667,50000.0,0:11:24.278086,14364723.348322388
74,0.001,4,0.001,0.1,0.6,0.5316111111111111,1.1691477306732254,0.8866666666666667,0.72,0.354,0.20166666666666666,0.295,0.7323333333333333,50000.0,0:12:18.848197,14365462.204771549
75,0.001,4,0.001,0.1,0.4,0.5320555555555555,1.16809365719736,0.8846666666666667,0.7196666666666667,0.36233333333333334,0.199,0.292,0.7346666666666667,50000.0,0:11:55.908802,14366178.121554278
76,0.001,4,0.001,1.0,1.0,0.5192222222222223,1.185872544753753,0.8886666666666667,0.712,0.3363333333333333,0.186,0.28633333333333333,0.706,50000.0,0:11:13.764741,14366851.894269273
77,0.001,4,0.001,1.0,0.8,0.5275,1.173248421209613,0.8873333333333333,0.7203333333333334,0.3453333333333333,0.19466666666666665,0.292,0.7253333333333334,50000.0,0:12:19.540074,14367591.442310048
78,0.001,4,0.001,1.0,0.6,0.5303333333333333,1.1696748451579007,0.8873333333333333,0.721,0.3486666666666667,0.20066666666666666,0.294,0.7303333333333333,50000.0,0:11:36.969070,14368288.424995927
79,0.001,4,0.001,1.0,0.4,0.5312222222222223,1.1686391744997082,0.8853333333333333,0.7183333333333334,0.3576666666666667,0.2,0.29133333333333333,0.7346666666666667,50000.0,0:12:17.816450,14369026.249467328
80,0.001,4,0.01,0.001,1.0,0.518,1.1864883560352586,0.8886666666666667,0.712,0.33166666666666667,0.18833333333333332,0.2803333333333333,0.707,50000.0,0:11:53.067410,14369739.32484918
81,0.001,4,0.01,0.001,0.8,0.5275555555555556,1.1730509169970658,0.8876666666666667,0.7193333333333334,0.347,0.19533333333333333,0.29133333333333333,0.7246666666666667,50000.0,0:11:47.582568,14370446.9157271
82,0.001,4,0.01,0.001,0.6,0.5311666666666667,1.169188859804694,0.887,0.72,0.35133333333333333,0.20033333333333334,0.296,0.7323333333333333,50000.0,0:11:46.660297,14371153.58402474
83,0.001,4,0.01,0.001,0.4,0.5309444444444444,1.1682591048982753,0.8846666666666667,0.7186666666666667,0.36,0.19933333333333333,0.2896666666666667,0.7333333333333333,50000.0,0:11:32.539547,14371846.131876623
84,0.001,4,0.01,0.01,1.0,0.5188888888888888,1.1867460054729297,0.8876666666666667,0.712,0.333,0.19033333333333333,0.2816666666666667,0.7086666666666667,50000.0,0:10:55.056467,14372501.196995474
85,0.001,4,0.01,0.01,0.8,0.5275,1.17304876020798,0.888,0.7193333333333334,0.3473333333333333,0.19466666666666665,0.29033333333333333,0.7253333333333334,50000.0,0:11:25.499604,14373186.70632081
86,0.001,4,0.01,0.01,0.6,0.5313333333333333,1.1691711623016556,0.887,0.72,0.353,0.20066666666666666,0.29533333333333334,0.732,50000.0,0:11:29.694642,14373876.408952331
87,0.001,4,0.01,0.01,0.4,0.5307777777777778,1.1682453085951074,0.8846666666666667,0.719,0.3586666666666667,0.19833333333333333,0.29,0.734,50000.0,0:11:31.783076,14374568.200025637
