,N,average,min,max,std,5_percentile,95_percentile
32,34,1.0333137913585758e-33,5.195215090739273e-37,3.3390092917066176e-32,5.690791586922758e-33,5.195215090739273e-37,1.890472062532475e-34
33,35,3.386812821415174e-35,4.4505675943999774e-38,3.033270122146222e-33,3.015270881085833e-34,4.4505675943999774e-38,1.6670059835491462e-35
34,36,4.371853997560437e-36,3.812652905869314e-39,2.7509213184011073e-34,3.3412244275070827e-35,3.812652905869314e-39,1.4687614822785657e-36
35,37,7.81127387894984e-37,3.266172656028046e-40,2.4909163542932855e-35,4.2436046478623756e-36,3.266172656028046e-40,1.2930993595546366e-37
36,38,5.859985718512882e-38,2.798021241997359e-41,2.2521173949531935e-36,3.512730560299739e-37,2.798021241997359e-41,1.1376188233367551e-38
37,39,9.316903085341065e-39,2.3969715306444045e-42,2.033330182756993e-37,4.2117153313125185e-38,2.3969715306444045e-42,1.0001433662144826e-39
38,40,2.072061647942582e-40,2.05340561125204e-43,1.8333326316793682e-38,1.822157761683389e-39,2.05340561125204e-43,8.787057934189322e-41
39,41,1.2161206025455571e-39,1.7590841403059143e-44,2.2964408557652145e-37,1.6196052411936305e-38,1.7590841403059143e-44,7.715329350010999e-42
40,42,8.292867827429285e-42,1.5069487468620666e-45,1.4848130754408817e-40,3.3821318297235946e-41,1.5069487468620666e-45,1.4848130754408817e-40
41,43,6.113359683983167e-43,1.290952759811837e-46,1.3338930178864381e-41,2.7629039446771417e-42,1.290952759811837e-46,5.937679452385914e-44
42,44,9.574223706440992e-43,1.1059161975721404e-47,1.7927875376365198e-40,1.264354957007634e-41,1.1059161975721404e-47,1.196991867782364e-42
